"Area","Company","Item","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Alabama","17613918AL (TUSCUMBIA CITY OF)","Residential Sales Volume","119209","128397","123360","114105","107097","91919","93725","107069","100809","114293","96035","77759","102960","108975","85953","78144","68412","96467","84647","78780","82660"
"Alabama","17613918AL (TUSCUMBIA CITY OF)","Residential Sales Revenue","1480450","1300189","1310802","1326457","1617284","1664804","1544132","1749176","1530127","1619474","1233053","1021293","1294437","1359347","1111719","1027151","938884","1322035","1178777","1107405","1225893"
"Minnesota","17613952MN (TWO HARBORS CITY OF)","Residential Sales Volume","165831","183598","192040","181684","165738","146991","164644","169671","161454","147803","157620","139955","170784","184945","157179","146259","154308","172982","179924","147278","147627"
"Minnesota","17613952MN (TWO HARBORS CITY OF)","Residential Sales Revenue","1285842","1222943","1421942","1296864","1616124","1606098","1678796","1908688","1588892","1142954","1142918","894659","1107279","1451904","1107439","897503","948362","1098266","1054053","917355","1237848"
"South Carolina","17613992SC (UNION CITY OF)","Residential Sales Revenue","4642184","3568334","4096905","4611858","5465394","4955583","4549416","5186079","4353233","4622016","4380861","3232510","3761023","4266547","3938116","3090371","3011664","3503992","3562497","3067635","3354651"
"South Carolina","17613992SC (UNION CITY OF)","Residential Sales Volume","363556","359384","365837","356147","344280","293797","288726","318280","300190","330871","321589","240932","299191","322021","305346","250717","232672","292955","291577","268750","288631"
"Illinois","17613997IL (UNION ELECTRIC COMPANY)","Residential Sales Revenue","13819245","11427973","12393174","14693201","8115196","","","","","","","","","","","","","","","",""
"Illinois","17613997IL (UNION ELECTRIC COMPANY)","Residential Sales Volume","1328524","1381824","1507922","1298473","771297","","","","","","","","","","","","","","","",""
"Mississippi","17614000MS (UNION GAS CO)","Residential Sales Volume","351474","","","","","","","","","","","","","","","","","","","",""
"Mississippi","17614000MS (UNION GAS CO)","Residential Sales Revenue","4465480","","","","","","","","","","","","","","","","","","","",""
"Kentucky","17614007KY (DUKE ENERGY KENTUCKY)","Residential Sales Revenue","67095819","50329651","69547670","78305305","93569907","83065040","86650321","93793581","76902211","87839965","76858764","58699531","66991067","79784994","69532324","62214654","61825680","68598330","66031924","65909529","75307862"
"Kentucky","17614007KY (DUKE ENERGY KENTUCKY)","Residential Sales Volume","6223740","6620215","7243135","6798673","6693510","5687112","6287726","6677731","6387550","6531587","6043620","5230077","6483794","6847088","5945448","5410586","5273272","6350460","6076554","5665820","5697733"
"West Virginia","17614012WV (UNION OIL AND GAS INC)","Residential Sales Revenue","3316750","3106167","3113883","3151791","4219554","4602018","4437661","4745747","4467340","3808029","3245879","2861438","3162509","3545742","3830313","2960918","3172921","3798361","3539978","3337416","3729626"
"West Virginia","17614012WV (UNION OIL AND GAS INC)","Residential Sales Volume","279684","294332","305567","267455","299783","268565","295405","311317","302999","324595","289230","263464","335035","365511","322002","286951","308256","341137","296230","299856","340925"
"Georgia","17614041GA (UNION POINT CITY OF)","Residential Sales Volume","25573","23158","25724","23839","21397","16450","15176","15500","15500","17529","15133","10925","14855","15824","13600","11596","10510","15440","11382","10510","12752"
"Georgia","17614041GA (UNION POINT CITY OF)","Residential Sales Revenue","359832","276117","334232","344676","377743","364058","284932","286099","293068","274109","219753","178939","222595","256166","199209","184286","168718","214647","214647","161314","198313"
"Alabama","17614062AL (UTILITIES BD CITY OF UNION SPRINGS)","Residential Sales Revenue","540643","488115","597706","858718","627307","542571","519889","557062","571772","637410","478258","302907","459413","500676","390260","359754","330856","","","",""
"Alabama","17614062AL (UTILITIES BD CITY OF UNION SPRINGS)","Residential Sales Volume","43362","37981","36971","55598","24249","24949","32579","32405","29435","31795","25833","18358","27843","30344","23652","20965","17617","","","",""
"Iowa","17614073IA (ATMOS ENERGY CORPORATION)","Residential Sales Volume","353967","336750","332941","302815","301172","263115","312240","326246","325458","305826","293406","141270","","","","","","","","",""
"Iowa","17614073IA (ATMOS ENERGY CORPORATION)","Residential Sales Revenue","3938373","3107543","3393810","2822540","3528552","3163809","3017143","3629754","2973727","2498093","2462511","1221531","","","","","","","","",""
"Georgia","17614074GA (ATMOS ENERGY CORPORATION)","Residential Sales Volume","3681867","3528386","3425365","3252187","3246789","2692653","2740295","2873062","2775089","3314097","2728643","2121575","1197456","","","","","","","",""
"Georgia","17614074GA (ATMOS ENERGY CORPORATION)","Residential Sales Revenue","33888807","30849800","37547973","37884281","45797003","36384746","35725405","41595571","34612108","33468347","31773907","29880620","13920052","","","","","","","",""
"Illinois","17614075IL (ATMOS ENERGY CORPORATION)","Residential Sales Revenue","17646579","13370718","17090802","15439654","20060885","16454865","16623551","21074894","15100872","14281318","13926448","5735489","","","","","","","","",""
"Illinois","17614075IL (ATMOS ENERGY CORPORATION)","Residential Sales Volume","1714321","1753339","1789717","1540301","1506006","1348612","1497586","1630960","1533405","1548066","1452758","699802","","","","","","","","",""
"Tennessee","17614078TN (ATMOS ENERGY CORPORATION)","Residential Sales Revenue","81406841","61754631","80066042","75838659","100629493","92962933","81269890","98689493","81134256","74863654","70205979","59097055","70974363","81605392","70068431","58112835","69770079","77528677","70179077","70156563","79134348"
"Tennessee","17614078TN (ATMOS ENERGY CORPORATION)","Residential Sales Volume","6524989","6926921","6869571","6366643","6888500","6247308","6423517","7346432","7168932","7930251","7221810","6051199","7617380","8481932","7231726","6585872","6659928","8308539","7682195","7820984","8019547"
"Pennsylvania","17614088PA (UGI UTILITIES)","Residential Sales Revenue","226662839","194719462","246101415","265819100","314092374","310939762","333604769","343459192","311515001","280090583","251635021","196428979","217411874","236470670","214166206","180592646","216179963","504538846","455276685","458297768","477796645"
"Pennsylvania","17614088PA (UGI UTILITIES)","Residential Sales Volume","18509437","18529989","21669073","20762078","21155974","17773733","21274305","20669743","21059875","20314895","19790062","17283081","20175204","22433316","21398274","19274535","19377863","45931668","42729432","40208500","41983992"
"Louisiana","17614090LA (CENTERPOINT ENERGY ENTEX)","Residential Sales Volume","5238099","5365139","5513721","4834328","4695345","4230444","4289079","4363836","4135890","5275511","4526569","3532244","4324133","5105206","4170074","3530166","3184296","4237409","3985087","3604501","4747293"
"Louisiana","17614090LA (CENTERPOINT ENERGY ENTEX)","Residential Sales Revenue","59443302","45672681","56640577","52789183","61391494","68297238","66416643","67719429","55605204","59082610","49547252","39168689","41555962","48543156","39682282","38189913","40319499","48274212","43458456","41836312","61480901"
"Pennsylvania","17614188PA (C T ENTERPRISES - VALLEY ENTERPRISES)","Residential Sales Revenue","4389620","3562822","4076760","4404100","5258910","5783409","4788021","5347254","6055556","3914454","4258129","4221637","4225840","4877522","4575026","3421699","3630272","4615073","4031315","4171423","4521582"
"Pennsylvania","17614188PA (C T ENTERPRISES - VALLEY ENTERPRISES)","Residential Sales Volume","429768","414601","517361","443667","453514","399350","428964","430595","446032","445291","478404","423410","502145","574107","565959","494426","519159","604641","575087","549923","559805"
"Kentucky","17614195KY (VALLEY GAS INC)","Residential Sales Volume","35748","38384","40755","35893","33344","29185","28956","33346","31141","47634","27239","24733","29256","32015","27446","26121","24781","29544","26900","21920","24998"
"Kentucky","17614195KY (VALLEY GAS INC)","Residential Sales Revenue","375893","285469","335320","315223","380595","417014","366693","422938","341510","365673","241639","228076","189317","356328","286626","171875","154230","279424","242741","148695","173869"
"Rhode Island","17614197RI (VALLEY GAS CO)","Residential Sales Volume","4023573","","","","","","","","","","","","","","","","","","","",""
"Rhode Island","17614197RI (VALLEY GAS CO)","Residential Sales Revenue","44551861","","","","","","","","","","","","","","","","","","","",""
"West Virginia","17614198WV (VALLEY GAS CO)","Residential Sales Volume","22711","","","","","18935","","","","","","","","","","","","","","",""
"West Virginia","17614198WV (VALLEY GAS CO)","Residential Sales Revenue","176863","","","","","285784","","","","","","","","","","","","","","",""
"Kentucky","17614220KY (VANCEBURG ELECTRIC PLANT BOARD OF)","Residential Sales Revenue","298703","266674","284678","311839","353052","433568","363271","320723","312876","285429","276205","235484","292314","290487","250188","189132","184099","230902","204747","192540","212425"
"Kentucky","17614220KY (VANCEBURG ELECTRIC PLANT BOARD OF)","Residential Sales Volume","23581","25261","27081","28966","25040","24950","23770","20991","20949","19752","19019","16053","20036","20881","18216","15987","15492","19771","17360","16293","18003"
"Ohio","17614283OH (VILLAGE OF VERONA)","Residential Sales Revenue","191673","186125","210525","195686","251120","204563","186572","201066","33884","108065","87974","55629","80833","101427","51529","43340","52143","63839","59460","43107","68879"
"Ohio","17614283OH (VILLAGE OF VERONA)","Residential Sales Volume","18398","20262","21453","20181","15063","15496","15496","16972","6043","17385","16644","13769","17432","18150","13964","13316","13099","15278","15822","13795","14110"
"Mississippi","17614291MS (CITY OF VICKSBURG)","Residential Sales Revenue","3305935","3107647","2932731","2998090","3059895","5876838","4568541","4738515","4008059","4444551","3843741","2793974","3440191","3633237","3173429","2580273","2257797","2932697","2815424","2394715","2807276"
"Mississippi","17614291MS (CITY OF VICKSBURG)","Residential Sales Volume","405444","384853","381703","344008","330638","319012","271437","286275","289684","353440","326869","211512","267474","293094","244738","194666","171669","232035","221312","188855","220671"
"Louisiana","17614298LA (VIDALIA CITY OF)","Residential Sales Volume","86707","81264","80681","72941","71992","64589","63937","68031","66372","78853","67719","52447","63189","76114","62071","49532","43801","56291","56829","45432","48101"
"Louisiana","17614298LA (VIDALIA CITY OF)","Residential Sales Revenue","924041","832468","804922","725930","800225","975206","717225","759047","741484","863703","752493","606749","709191","871740","953892","732243","776040","879784","921518","861682","863425"
"Illinois","17614301IL (VIENNA MUNICIPAL GAS SYSTEM)","Residential Sales Volume","28352","32365","31085","34377","31202","25554","30328","30674","28597","29692","26789","22538","29221","31312","27119","24103","23331","25063","24725","22431","23161"
"Illinois","17614301IL (VIENNA MUNICIPAL GAS SYSTEM)","Residential Sales Revenue","304344","249170","315788","383456","452429","388190","357870","407020","322443","282300","233740","182339","227661","202592","184397","192742","216314","244635","227701","207605","227844"
"Louisiana","17614311LA (VILLE PLATTE CITY OF)","Residential Sales Revenue","1962585","1318498","1481706","1390723","1566625","1290410","1349105","1455668","1170210","1182906","1051049","830431","965664","1095652","895880","725011","636684","808844","698866","651444","624620"
"Louisiana","17614311LA (VILLE PLATTE CITY OF)","Residential Sales Volume","132261","112804","109010","91721","86654","67742","73782","68128","64416","75762","64843","49951","58222","65167","53241","41717","35817","47526","38530","31172","40747"
"Kansas","17614319KS (VIOLA GAS SERVICE)","Residential Sales Volume","6246","6612","6437","5278","4668","4090","4237","4289","3804","4116","3958","1989","","","","","","","","",""
"Kansas","17614319KS (VIOLA GAS SERVICE)","Residential Sales Revenue","66550","63858","62193","50260","51254","58837","47120","51795","44742","45545","47120","26239","","","","","","","","",""
"Minnesota","17614329MN (VIRGINIA PUBLIC UTILITIES)","Residential Sales Revenue","664091","1031573","1119827","1209780","1483230","1577908","1753120","1871668","2021204","1602410","1585305","1282177","1483658","1704188","1333306","1304520","1423855","1637485","1895079","2027964","2283095"
"Minnesota","17614329MN (VIRGINIA PUBLIC UTILITIES)","Residential Sales Volume","99180","119538","134848","142241","142052","131645","139077","162080","155594","132764","150413","130655","166408","186199","147315","143587","158591","184770","214294","226949","256856"
"Georgia","17614359GA (WAYNESBORO CITY OF)","Residential Sales Revenue","653270","683324","809907","","","1094882","960480","1100405","1024234","1193282","1014477","881398","1000637","859255","544335","494165","439707","428718","522355","478051","587739"
"Georgia","17614359GA (WAYNESBORO CITY OF)","Residential Sales Volume","66286","75204","71844","","","70538","65077","67994","68931","82136","71859","62613","78049","65118","60665","49727","39501","46458","38532","35342","41205"
"Alabama","17614389AL (WEDOWEE TOWN OF WTR SWR GAS BD)","Residential Sales Revenue","382625","342928","267230","320751","405036","489321","","","","","","","","","","","","","","",""
"Alabama","17614389AL (WEDOWEE TOWN OF WTR SWR GAS BD)","Residential Sales Volume","28706","26876","25045","28694","30244","31794","","","","","","","","","","","","","","",""
"Alabama","17614445AL (WADLEY CITY OF)","Residential Sales Volume","6824","","","5204","3294","3735","5622","19720","","","3884","2831","7656","","7656","7999","4032","3051","2375","2024","2199"
"Alabama","17614445AL (WADLEY CITY OF)","Residential Sales Revenue","29684","","","50765","55965","57685","86667","239688","","","47000","34170","47930","","47930","48390","33479","31013","27200","21593","23962"
"Oklahoma","17614462OK (WAKITA UTILITIES AUTHORITY)","Residential Sales Volume","12188","11297","9310","8701","8570","6248","7233","8251","7342","7235","7141","5227","8425","7440","6366","5587","5114","6730","6904","6371","6451"
"Oklahoma","17614462OK (WAKITA UTILITIES AUTHORITY)","Residential Sales Revenue","114108","110542","91751","88309","105404","92537","110119","123130","100811","89208","87854","69712","100875","91019","78369","71884","65928","81918","83718","78355","82757"
"Pennsylvania","17614472PA (WALKER GAS & OIL COMPANY INC)","Residential Sales Volume","26880","27071","28948","26932","19244","","","","","","","","","","","","","","","",""
"Pennsylvania","17614472PA (WALKER GAS & OIL COMPANY INC)","Residential Sales Revenue","193510","253054","265679","320921","236957","","","","","","","","","","","","","","","",""
"Louisiana","17614473LA (WALKER TOWN OF)","Residential Sales Revenue","1822365","2080730","2220893","","","","4463936","4425729","4300795","4732071","3849639","3176922","7269104","4976799","4976799","","4336804","5240587","4136763","",""
"Louisiana","17614473LA (WALKER TOWN OF)","Residential Sales Volume","171860","188447","210434","","","","260180","272607","291682","354384","297893","250605","322429","308370","309370","","274088","334306","258337","",""
"Mississippi","17614498MS (WALNUT TOWN OF)","Residential Sales Revenue","524688","478332","487301","534551","610230","646040","528239","642349","562372","703664","444173","319621","374759","628432","511306","433218","517746","563925","556392","394556","65020"
"Mississippi","17614498MS (WALNUT TOWN OF)","Residential Sales Volume","42683","47087","47005","44539","41007","35360","34070","43099","38122","40198","38933","29950","38898","47835","40575","34618","30371","45512","42499","35099","43081"
"Oklahoma","17614521OK (WANN PUBLIC WORKS AUTHORITY)","Residential Sales Revenue","25222","38816","27721","","27175","26629","29661","22823","27765","24652","22117","16698","28634","38439","32084","30734","30853","36968","34521","30417","29388"
"Oklahoma","17614521OK (WANN PUBLIC WORKS AUTHORITY)","Residential Sales Volume","4826","4194","3745","","3200","2655","3096","3055","3514","2804","2748","2088","2820","2599","2169","2078","2086","2373","2334","2056","1987"
"District of Columbia","17614606DC (WASHINGTON GAS LIGHT COMPANY)","Residential Sales Volume","9759858","10612888","10720820","10770116","11048735","8753848","10193090","10089948","10243192","10279544","9286687","8325544","9912743","10506937","9884198","8333657","8798251","9911420","9111751","8303339","8578737"
"District of Columbia","17614606DC (WASHINGTON GAS LIGHT COMPANY)","Residential Sales Revenue","123449071","116891878","142435855","154150819","186341753","148479137","159755369","166354992","142578313","139065000","121244387","100773181","123385705","137104688","118451949","90844480","110248941","116738902","116693869","99013278","122567309"
"Washington","17614608WA (PUGET SOUND ENERGY)","Residential Sales Revenue","612068798","449186497","391220824","472007760","586188582","675603586","765262966","753070749","810376794","655218830","760803318","698203282","683136576","558228298","597572435","578955000","686438000","598922745","613617000","662502000","722022000"
"Washington","17614608WA (PUGET SOUND ENERGY)","Residential Sales Volume","61469431","49830183","48409445","47749499","49453071","50901491","54331009","57077376","56864390","50993102","57768305","54231428","56168310","53338725","49299668","52177100","62191400","57126475","60531300","59281100","61102800"
"Idaho","17614616ID (AVISTA UTILITIES)","Residential Sales Volume","3854881","4025846","3814511","3993446","4087238","4218929","4364081","4802130","4707974","4301465","4747694","4342420","4636253","4508879","4062257","4393524","5161080","4949301","5433347","5339480","5407934"
"Idaho","17614616ID (AVISTA UTILITIES)","Residential Sales Revenue","32770822","38554604","32374210","36592808","45326991","54161779","54528355","59551394","53624801","41528046","48200414","41903812","44865073","46555303","40281230","41491092","45661813","43110785","43435274","45622517","46057376"
"Georgia","17614621GA (ALBANY WTR GAS LT COMM)","Residential Sales Revenue","6799977","4434174","5863918","6165515","7021863","6771675","5568084","6459458","4923607","6411818","5262230","3473405","4741915","5943884","4857873","4249530","3549313","4957166","4529413","4483196","4029266"
"Georgia","17614621GA (ALBANY WTR GAS LT COMM)","Residential Sales Volume","572797","536841","541593","529371","494052","436135","404352","446586","407749","536296","449846","300851","370685","420874","312118","281935","224474","304618","274027","269977","284107"
"Illinois","17614625IL (WATERLOO CITY OF)","Residential Sales Volume","176093","196493","205295","194972","193589","183961","199278","230483","214492","219198","205062","174233","226803","243368","209290","194935","185026","225292","241374","219589","218608"
"Illinois","17614625IL (WATERLOO CITY OF)","Residential Sales Revenue","1843357","1633477","2163861","2369470","2851858","2775432","2431192","3550428","2861746","2852973","2413074","1786876","1786876","2567214","1923898","1758170","1738359","2185616","2199726","1858219","2084076"
"Louisiana","17614630LA (WATERPROOF TOWN OF)","Residential Sales Volume","23380","22975","21293","27634","37672","","","","","","29348","9700","10515","14482","8257","9835","7662","6944","6225","3952","4043"
"Louisiana","17614630LA (WATERPROOF TOWN OF)","Residential Sales Revenue","237073","250000","189652","137109","551141","","","","","","243961","50990","124602","184572","108519","116245","98457","108547","118637","88723","83505"
"South Dakota","17614635SD (WATERTOWN MUNICIPAL UTILITIES)","Residential Sales Revenue","6072911","4421658","5467389","5790462","6434150","6076210","6388837","6903214","8085485","6510972","6311142","4748985","6290580","5908500","4681102","4226330","3926403","4508021","4603901","4043402","4016185"
"South Dakota","17614635SD (WATERTOWN MUNICIPAL UTILITIES)","Residential Sales Volume","691064","707277","729218","675029","684953","654971","678648","738288","726567","689744","673013","540619","717815","731895","587990","579331","593840","710759","722604","626322","599451"
"Ohio","17614637OH (WATERVILLE GAS AND OIL CO)","Residential Sales Volume","327093","386922","425232","455738","480046","440279","509471","534946","546246","512230","540610","465965","592137","656746","585034","556923","561641","675685","684278","648293","646099"
"Ohio","17614637OH (WATERVILLE GAS AND OIL CO)","Residential Sales Revenue","3279821","3191938","4048855","4701227","6406710","5980884","5992324","7412657","6196513","5007966","4883108","4053875","5043188","6140703","4786996","4524008","4688624","5538045","5376681","4888663","5941668"
"Mississippi","17614658MS (WAVELAND CITY OF)","Residential Sales Volume","26230","26221","24322","24457","","","","","","","","0","","2598","2321","3918","2343","3545","3675","3593","4565"
"Mississippi","17614658MS (WAVELAND CITY OF)","Residential Sales Revenue","284849","293450","284244","273002","","","","","","","","0","","44543","47073","53207","52238","68656","74585","76110","92434"
"New York","17614659NY (VALLEY ENERGY)","Residential Sales Revenue","1170355","1064572","1355485","1292986","1579745","1423865","1423606","1577358","1454033","1365986","1126949","980407","1126887","1228118","1060900","841386","979297","1153910","1010858","881708","1209780"
"New York","17614659NY (VALLEY ENERGY)","Residential Sales Volume","129951","131121","137766","134851","132815","119673","131794","130343","134241","138716","140646","125859","152531","170326","161136","151538","153333","175260","172778","158175","164748"
"Illinois","17614664IL (WAVERLY UTIL DEPT)","Residential Sales Revenue","601437","550670","519783","504738","617911","532286","539661","664282","563221","561168","471738","339469","427154","481180","395705","369418","361309","403449","382222","349105","407431"
"Illinois","17614664IL (WAVERLY UTIL DEPT)","Residential Sales Volume","60726","63048","62686","55034","54972","48796","48543","57391","52620","52495","45858","37582","50480","56629","43924","40120","38994","47859","39702","37145","37427"
"Illinois","17614669IL (WAYNE CITY VILLAGE OF)","Residential Sales Volume","35910","41234","38368","36715","35747","33446","36762","38681","36526","32199","32437","25565","37963","53415","41223","42312","41199","43893","48057","45241","37897"
"Illinois","17614669IL (WAYNE CITY VILLAGE OF)","Residential Sales Revenue","267744","363256","279283","303561","371411","376527","386001","433316","347979","387954","228493","181005","256779","332351","281805","286095","302863","322976","326820","299486","316694"
"Tennessee","17614676TN (WAYNESBORO CITY OF)","Residential Sales Volume","57374","43207","53685","41075","38996","32581","32561","40949","36348","41924","37566","27725","36723","40112","31802","29719","26281","37978","38609","23447","28285"
"Tennessee","17614676TN (WAYNESBORO CITY OF)","Residential Sales Revenue","511204","307810","464066","439869","553726","524154","475390","553100","458658","434772","394240","378074","478121","525252","426567","396468","393956","524847","496154","301496","352749"
"Iowa","17614680IA (WEST BEND MUN GAS)","Residential Sales Volume","29866","31692","33958","28158","27420","25570","27654","29485","27400","26301","27009","22178","28248","29604","22724","21715","22782","26875","27446","23547","22086"
"Iowa","17614680IA (WEST BEND MUN GAS)","Residential Sales Revenue","286368","249398","255165","260149","290125","327752","346694","377872","316048","255782","247696","201272","239721","313115","212225","184684","197503","229408","227470","208561","211246"
"Georgia","17614704GA (WEST POINT CITY OF)","Residential Sales Volume","67904","72776","72524","74164","61706","56040","60481","61123","56245","67436","48678","39101","35622","58546","43835","39740","34852","42671","32275","38718","36278"
"Georgia","17614704GA (WEST POINT CITY OF)","Residential Sales Revenue","867975","836488","855621","936325","781846","1018806","825419","889324","752638","928170","685233","528823","523994","804345","529385","515180","503728","607530","475879","519407","556770"
"Tennessee","17614711TN (WEST TENNESSEE PUBLIC UTILITY DIST)","Residential Sales Volume","660242","708292","729074","664472","656717","579034","590684","673111","621086","677447","648709","503601","665844","750485","648445","539847","519709","716665","673480","601014","694076"
"Tennessee","17614711TN (WEST TENNESSEE PUBLIC UTILITY DIST)","Residential Sales Revenue","6695013","5699291","6231621","7019955","8367438","7207022","7388916","8674692","7327154","6736706","5713541","4407867","5689944","6556926","6200238","5079011","5409006","6891420","6644239","6102404","7719034"
"Kentucky","17614728KY (ATMOS ENERGY CORPORATION)","Residential Sales Volume","11373573","11269903","11883739","10406083","11111864","9032391","9742473","10970390","10260714","10734768","10186606","8433486","10695101","11757008","9826064","9093805","8723724","10416025","9886885","9388740","9460813"
"Kentucky","17614728KY (ATMOS ENERGY CORPORATION)","Residential Sales Revenue","111137813","79839065","105056342","108367340","133757305","121022934","114853596","140438328","112179130","92830822","88578380","78782854","95460219","114830243","98885207","84798124","92573451","102936982","98624946","87853313","97519935"
"Massachusetts","17614749MA (WESTFIELD GAS AND ELECTRIC)","Residential Sales Revenue","7690034","6432235","8618589","9264790","10789030","11017604","9961953","10241998","8588471","7661997","8167213","6940434","8472015","10881321","10534189","8241793","9334159","10179782","10120012","9504536","10463561"
"Massachusetts","17614749MA (WESTFIELD GAS AND ELECTRIC)","Residential Sales Volume","587258","584819","663371","615048","605643","514998","553923","600135","587629","557618","597749","533458","631455","676232","704393","598271","651926","721526","712081","664208","668952"
"Louisiana","17614750LA (WESTLAKE NAT GAS SYS)","Residential Sales Volume","161861","140657","137097","118145","113993","112640","95447","84987","100806","112202","87947","84178","103741","104435","85031","79074","82855","86575","82883","89496","91320"
"Louisiana","17614750LA (WESTLAKE NAT GAS SYS)","Residential Sales Revenue","1076742","950000","1593314","1556770","1738903","1436213","1380227","1262142","1265687","1377077","1129319","983056","1181818","1303152","1454096","1368235","1488825","1637215","1609935","1706337","1666708"
"Illinois","17614762IL (WESTVILLE GAS COMM)","Residential Sales Volume","143853","151581","152106","139094","134164","127015","128270","128270","129217","128826","126429","102312","121426","126419","119646","108308","103953","126491","117422","108574","106952"
"Illinois","17614762IL (WESTVILLE GAS COMM)","Residential Sales Revenue","1216008","936043","1029322","1140262","1216177","1282433","1286103","1286103","1221171","1015857","934963","718275","854913","900566","793020","665130","792044","904687","783189","806563","1101571"
"Illinois","17614799IL (WHITE HALL CITY OF)","Residential Sales Volume","83690","96362","89801","83926","80972","73003","82088","89930","86386","71776","79503","73073","91260","88340","69512","67932","69373","77167","79347","73978","70822"
"Illinois","17614799IL (WHITE HALL CITY OF)","Residential Sales Revenue","846361","752976","784116","824088","895095","730638","935803","968786","643665","724266","790676","540937","689557","771101","504037","484032","524567","575758","552567","582217","792988"
"Texas","17614813TX (WHITE DEER CITY OF)","Residential Sales Revenue","153314","150618","151966","","","","","294219","242631","235106","220196","185838","246500","247565","","","","","","",""
"Texas","17614813TX (WHITE DEER CITY OF)","Residential Sales Volume","32867","32070","32469","","","","","22600","23307","23300","24482","21416","30217","30470","","","","","","",""
"Texas","17614826TX (WHITEFACE CITY OF)","Residential Sales Revenue","104862","96747","75169","72503","87637","83928","93102","93791","91613","84987","65057","69292","74382","77201","80369","","54334","64095","58846","61210",""
"Texas","17614826TX (WHITEFACE CITY OF)","Residential Sales Volume","14043","9707","9176","7385","7414","6088","15758","15856","8184","8329","7663","7347","7888","9193","8919","","4894","9449","10530","8192",""
"Iowa","17614849IA (WHITTEMORE MUN GAS)","Residential Sales Revenue","260000","","","210273","","","237520","275582","223668","216460","216832","160830","214877","236507","201595","158539","169916","200130","170820","200922","190046"
"Iowa","17614849IA (WHITTEMORE MUN GAS)","Residential Sales Volume","25000","","","21111","","","19770","21986","19113","19765","18760","14109","19969","19178","18310","15543","15730","18953","16452","19408","12672"
"Kentucky","17614860KY (WICKLIFFE CITY OF)","Residential Sales Revenue","259026","217072","237190","215194","249128","272507","292544","352908","274804","223535","240805","212582","246433","256653","264639","208947","207480","249665","241707","212033","246002"
"Kentucky","17614860KY (WICKLIFFE CITY OF)","Residential Sales Volume","23887","23600","24658","19936","19940","17406","18210","20578","18484","22860","18949","14977","21555","21223","21397","16240","15159","19241","18510","15876","17520"
"Arizona","17614895AZ (WILLCOX CITY OF)","Residential Sales Revenue","547711","434616","445707","525850","609222","583511","623518","673801","508048","516585","499803","429049","434800","415686","383145","360013","365181","371406","393387","386593","439226"
"Arizona","17614895AZ (WILLCOX CITY OF)","Residential Sales Volume","75514","79671","71470","61075","54048","50025","43603","48864","43019","42519","40654","37895","40004","38932","36610","36065","33973","38412","40073","41287","37767"
"Arizona","17614896AZ (GRAHAM COUNTY UTILITIES INC)","Residential Sales Volume","216915","201542","192952","212269","192167","182955","201114","207387","183924","202926","198965","172046","192792","162290","159496","165690","139096","161953","179572","177245","175753"
"Arizona","17614896AZ (GRAHAM COUNTY UTILITIES INC)","Residential Sales Revenue","2589112","2086788","1886308","1846080","2165995","2897724","2660601","2932245","2588397","2568730","2398211","2100109","2321889","2215782","2253939","2268292","2089742","2318133","2489984","2507800","2801899"
"Ohio","17614928OH (WILLIAMSPORT VILLAGE OF)","Residential Sales Volume","29047","29225","30056","28093","26810","22991","24445","25850","24504","","25374","20846","24253","26540","28158","","","","","",""
"Ohio","17614928OH (WILLIAMSPORT VILLAGE OF)","Residential Sales Revenue","217119","217486","204602","238171","272924","369155","362020","368314","365680","","228368","192725","218274","238857","253423","","","","","",""
"Mississippi","17614930MS (MISSISSIPPI VALLEY GAS CO)","Residential Sales Volume","7509","","","","","","","","","","","","","","","","","","","",""
"Mississippi","17614930MS (MISSISSIPPI VALLEY GAS CO)","Residential Sales Revenue","85135","","","","","","","","","","","","","","","","","","","",""
"Mississippi","17614934MS (SPIRE ENERGY)","Residential Sales Volume","1088185","1057010","1036287","957296","912835","801818","806147","839329","768853","958660","837845","645713","785493","890010","717303","605208","550927","717958","662520","577054","691247"
"Mississippi","17614934MS (SPIRE ENERGY)","Residential Sales Revenue","11943783","7059040","9656337","9628107","11818683","11415357","9816456","11904012","9471428","11043929","6513816","5753648","7057820","8347561","6261353","5208239","4883361","6672186","7128073","6436754","7488565"
"Oklahoma","17614941OK (WILLOW TOWN OF)","Residential Sales Revenue","43712","45136","35501","43759","36314","28988","41000","27784","","28550","23715","20500","25950","26130","22855","17820","15420","18560","17464","14848","16156"
"Oklahoma","17614941OK (WILLOW TOWN OF)","Residential Sales Volume","4563","4944","4515","3997","2988","2475","4515","2359","","3400","2820","2400","2941","3058","2532","2200","1950","2065","2493","2329","2411"
"North Carolina","17614947NC (WILSON ENERGY)","Residential Sales Volume","881243","651445","748439","713423","706713","585753","582287","588026","614940","697420","643878","532591","641607","697929","672721","528504","526157","659043","581931","495499","636122"
"North Carolina","17614947NC (WILSON ENERGY)","Residential Sales Revenue","8931185","6363523","8223657","9286564","11529834","12689252","10661993","11243149","11106896","10782371","9309159","7714110","8963128","10858881","10775690","8262698","8721909","11347177","10031205","8752510","11170052"
