"Area","Company","Item","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Michigan"," Total of All Companies","Residential Sales Revenue","1932604944","2224383042","2655276924","2935551193","3612769561","3558560581","3433325386","3830565652","3452953673","3167172703","3067861737","2522641046","2783698821","3052554721","2553621892","2241889601","2341595934","2506423344","2526064490","2374556337","2589682947"
"Minnesota"," Total of All Companies","Residential Sales Revenue","1091190943","893240559","1183622391","1262286935","1442320234","1366639047","1435665629","1574291966","1198973682","1077488437","1107408075","872098693","1146112486","1450069187","1033325971","941569145","1049057931","1228937319","1165231739","1046451678","1227107869"
"Minnesota"," Total of All Companies","Residential Sales Volume","124891364","135212915","137953156","132892930","128625313","117152628","128841919","139488879","133319434","122993130","125160260","109102768","139897357","146647298","117587798","117597646","123898080","141400211","144577376","130118791","130582922"
"Mississippi"," Total of All Companies","Residential Sales Revenue","288077345","205393381","258889087","254905007","325605831","314670351","289809053","332890806","263548322","276809556","228863631","186879665","225516290","268624595","225462974","202997458","218158789","254906469","245083261","237136177","268978541"
"Mississippi"," Total of All Companies","Residential Sales Volume","27920376","26456822","26588628","24135950","24463862","21481455","22227018","23843231","23433173","27152071","24169615","19470791","25059459","28261025","23248343","20184653","18445679","24426424","23168377","20610686","21269602"
"Missouri"," Total of All Companies","Residential Sales Volume","116187657","114184749","114547385","109737872","106855533","95393635","101600842","114024781","106300702","107389439","102545003","83105770","106445666","115512447","95502546","87264292","86865159","113937932","110611044","99983654","101464363"
"Missouri"," Total of All Companies","Residential Sales Revenue","1216873972","913387625","1086876549","1209298500","1354293537","1359368425","1363806135","1523935581","1340163491","1252179090","1232851777","1018092840","1157902003","1251186639","1108079252","954874855","1022931580","1181109838","1151137882","1039302601","1097225258"
"Montana"," Total of All Companies","Residential Sales Volume","20147284","21710396","20436462","19907254","19834337","19434617","19693801","21555157","21731444","20842835","21675830","19040672","20782827","21341252","18862652","19019580","21355164","22508069","23832686","21692933","21050630"
"Montana"," Total of All Companies","Residential Sales Revenue","146342583","115131878","144631202","183019902","212295486","218920190","195203241","246901433","206485629","180097944","190707071","153317172","170243581","194431849","154882475","138360697","162787610","164731535","169008304","156536935","186554721"
"Nebraska"," Total of All Companies","Residential Sales Volume","35889665","35956807","36072527","33735014","32440232","30816171","33060692","36888552","35233228","35069146","34669552","26845872","36092724","37008701","30447731","28914810","29818302","37370279","36516762","32509687","31952021"
"Nebraska"," Total of All Companies","Residential Sales Revenue","312546135","222256638","282384432","305788614","346360912","348199470","368732063","409816796","329048314","313864862","306466359","233031372","302802729","324684751","269861319","231625820","268653351","319107914","288505612","261289794","306304697"
"Nevada"," Total of All Companies","Residential Sales Revenue","292093687","310060262","294272231","367190910","453598828","542783259","539592210","515594361","510673144","482483653","432879685","375891948","392503694","401820070","437600774","399927867","360771714","386546816","455392508","476788931","436141615"
"Nevada"," Total of All Companies","Residential Sales Volume","32608523","31957640","32847795","36533931","36396879","37936976","38088201","38665283","38741500","39378781","40594505","37070955","41664394","35134581","37029457","39075040","40910642","41837082","47931223","46009200","44848178"
"New Hampshire"," Total of All Companies","Residential Sales Volume","6811970","6921716","7939715","7085650","7793176","6717798","7393710","7054269","7213197","6738359","6954976","6421932","7184629","7755259","7842443","6861280","7331455","8134113","8034414","7403219","7438071"
"New Hampshire"," Total of All Companies","Residential Sales Revenue","86839129","69745605","90809585","102911999","116705937","110068148","123560143","116067136","110612290","97440512","102037648","88238584","99460351","126188275","126865345","97779254","106645880","124871674","126530736","108499882","121296034"
"New Jersey"," Total of All Companies","Residential Sales Revenue","1602222588","1469034137","2512708274","2556364400","2301512908","2894068326","3240727154","3272364750","3200991610","2702972865","2380280970","1970424113","2218487535","2178513371","1842635672","1687618526","1917565158","2147552247","2244398152","2143736996","2315505430"
"New Jersey"," Total of All Companies","Residential Sales Volume","209886449","203207983","231618952","220622769","222728648","194565264","224288239","215981726","220867479","211618051","202110671","177616589","203743537","224763443","221477822","203246695","209825129","236337573","230579865","216102339","225597166"
"New Mexico"," Total of All Companies","Residential Sales Volume","34749756","33498925","31618912","34338941","33242217","30427770","33469749","33994691","32403061","35249711","34293212","32507405","36013557","32363835","33119370","32566629","29981985","34426135","42372555","36426604","35549729"
